# Table: fun
# Replaces: type=fact
# uuid: id
type,content
fact,"Coca-Cola contained Coca (whose active ingredient is cocaine) from 1885 to 1903."
fact,"A “2 by 4"" is really 1 1/2 by 3 1/2."
fact,"It’s estimated that at any one time around 0.7% of the world’s population is drunk."
fact,"40% of McDonald’s profits come from the sales of Happy Meals."
fact,"Every person, including identical twins, has a unique eye & tongue print along with their finger print."
fact,"The “spot” on the 7-Up logo comes from its inventor who had red eyes. He was an albino."
fact,"315 entries in Webster’s 1996 dictionary were misspelled."
fact,"The “save” icon in Microsoft Office programs shows a floppy disk with the shutter on backwards."
fact,"Albert Einstein and Charles Darwin both married their first cousins."
fact,"Camel’s have three eyelids."
fact,"On average, 12 newborns will be given to the wrong parents every day."
fact,"John Wilkes Booth’s brother once saved the life of Abraham Lincoln’s son."
fact,"Warren Beatty and Shirley McLaine are brother and sister."
fact,"Chocolate can kill dogs; it directly affects their heart and nervous system."
fact,"Daniel Boone hated coonskin caps."
fact,"55.1% of all US prisoners are in prison for drug offenses."
fact,"Most lipstick contains fish scales."
fact,"Dr. Seuss pronounced his name “soyce”."
fact,"Slugs have four noses."
fact,"Ketchup was sold in the 1830s as medicine."
fact,"India has a Bill of Rights for cows."
fact,"American Airlines saved $40,000 in 1987 by taking out an olive from First Class salads."
fact,"About 200,000,000 M&Ms are sold each day in the United States."
fact,"Because metal was scarce, the Oscars given out during World War II were made of wood."
fact,"There are 318,979,564,000 possible combinations of the first four moves in Chess."
fact,"There are no clocks in Las Vegas gambling casinos."
fact,"Coconuts kill about 150 people each year. That’s more than sharks."
fact,"Half of all bank robberies take place on a Friday."
fact,"The name Wendy was made up for the book Peter Pan. There was never a recorded Wendy before it."
fact,"The international telephone dialing code for Antarctica is 672."
fact,"The first bomb the Allies dropped on Berlin in WWII killed the only elephant in the Berlin Zoo."
fact,"The average raindrop falls at 7 miles per hour."
fact,"If you put a drop of liquor on a scorpion, it will instantly go mad and sting itself to death."
fact,"Bruce Lee was so fast that they had to slow the film down so you could see his moves."
fact,"The first CD pressed in the US was Bruce Springsteen’s “Born in the USA”."
fact,"IBM’s motto is “Think”. Apple later made their motto “Think different”."
fact,"The original name for butterfly was flutterby."
fact,"One in fourteen women in America is a natural blonde. Only one in sixteen men is."
fact,"The Olympic was the sister ship of the Titanic, and she provided twenty-five years of service."
fact,"When the Titanic sank, 2228 people were on it. Only 706 survived."
fact,"Every day, 7% of the US eats at McDonald’s."
fact,"During his entire life, Vincent Van Gogh sold exactly one painting, “Red Vineyard at Arles”."
fact,"By raising your legs slowly and lying on your back, you cannot sink into quicksand."
fact,"One in ten people live on an island."
fact,"It takes more calories to eat a piece of celery than the celery has in it to begin with."
fact,"28% of Africa is classified as wilderness. In North America, its 38%."
fact,"Charlie Chaplin once won third prize in a Charlie Chaplin look-alike contest."
fact,"Chewing gum while peeling onions will keep you from crying."
fact,"Sherlock Holmes NEVER said “Elementary, my dear Watson”."
fact,"Humphrey Bogart NEVER said “Play it again, Sam” in Casablanca."
fact,"They NEVER said “Beam me up, Scotty” on Star Trek."
fact,"Sharon Stone was the first Star Search spokes model."
fact,"More people are afraid of open spaces (kenophobia) than of tight spaces (claustrophobia)."
fact,"The glue on Israeli postage is certified kosher."
fact,"There is a 1 in 4 chance that New York will have a white Christmas."
fact,"The Guinness Book of Records holds the record for being the book most often stolen from Libraries."
fact,"Thirty-five percent of the people who use personal ads for dating are already married."
fact,"$203,000,000 is spent on barbed wire each year in the U.S."
fact,"Every US president has worn glasses (just not always in public)."
fact,"Bats always turn left when exiting a cave."
fact,"Jim Henson first coined the word “Muppet”. It is a combination of “marionette” and “puppet.”."
fact,"The Michelin man is known as Mr. Bib. His name was Bibendum in the company’s first ads in 1896."
fact,"The word “lethologica” describes the state of not being able to remember the word you want."
fact,"About 14% of injecting drug users are HIV positive."
fact,"A word or sentence that is the same front and back (racecar, kayak) is called a “palindrome”."
fact,"A snail can sleep for 3 years."
fact,"People photocopying their buttocks are the cause of 23% of all photocopier faults worldwide."
fact,"China has more English speakers than the United States."
fact,"One in every 9000 people is an albino."
fact,"The electric chair was invented by a dentist."
fact,"You share your birthday with at least 9 million other people in the world."
fact,"Everyday, more money is printed for Monopoly sets than for the U.S. Treasury."
fact,"Every year 4 people in the UK die putting their trousers on."
fact,"Cats have over one hundred vocal sounds; dogs only have about ten."
fact,"Our eyes are always the same size from birth but our nose and ears never stop growing."
fact,"In every episode of “Seinfeld” there is a Superman picture or reference somewhere."
fact,"Rats multiply so quickly that in 18 months, two rats could have over million descendants."
fact,"Wearing headphones for just an hour will increase the bacteria in your ear by 700 times."
fact,"Each year in America there are about 300,000 deaths that can be attributed to obesity."
fact,"About 55% of all movies are rated R."
fact,"About 500 movies are made in the US and 800 in India annually."
fact,"Arabic numerals are not really Arabic; they were created in India."
fact,"The February of 1865 is the only month in recorded history not to have a full moon."
fact,"There is actually no danger in swimming right after you eat, though it may feel uncomfortable."
fact,"The cruise liner Queen Elizabeth II moves only six inches for each gallon of diesel that it burns."
fact,"More than 50% of the people in the world have never made or received a telephone call."
fact,"A shark is the only fish that can blink with both eyes."
fact,"There are about 2 chickens for every human in the world."
fact,"The word “maverick” came into use after Samuel Maverick, a Texan refused to brand his cattle."
fact,"Two-thirds of the world’s eggplant is grown in New Jersey."
fact,"On a Canadian two-dollar bill, the American flag is flying over the Parliament Building."
fact,"An American urologist bought Napoleon’s penis for $40,000."
fact,"No word in the English language rhymes with month, orange, silver, or purple."
fact,"Dreamt is the only English word that ends in the letters “MT”."
fact,"$283,200 is the absolute highest amount of money you can win on Jeopardy."
fact,"Almonds are members of the peach family."
fact,"Rats and horses can’t vomit."
fact,"The penguin is the only bird that can’t fly but can swim."
fact,"There are approximately 100 million acts of sexual intercourse each day."
fact,"Winston Churchill was born in a ladies room during a dance."
fact,"Maine is the only state whose name is just one syllable."
fact,"Americans on average eat 18 acres of pizza every day."
fact,"Every time you lick a stamp you consume 1/10 of a calorie."
fact,"You are more likely to be killed by a champagne cork than by a poisonous spider."
fact,"Hedenophobic means fear of pleasure."
fact,"Ancient Egyptian priests would pluck every hair from their bodies."
fact,"A crocodile cannot stick its tongue out."
fact,"80% of burglaries are committed by people aged 13-21."
fact,"An ant always falls over on its right side when intoxicated."
fact,"All polar bears are left-handed."
fact,"The catfish has over 27000 taste buds (more than any other animal)."
fact,"A cockroach will live nine days without its head before it starves to death."
fact,"Butterflies taste with their feet."
fact,"Elephants are the only mammals that cannot jump."
fact,"An ostrich’s eye is bigger than its brain."
fact,"Starfish have no brains."
fact,"11% of the world is left-handed."
fact,"Rubber bands last longer when refrigerated."
fact,"The national anthem of Greece has 158 verses."
fact,"There are 293 ways to make change for a dollar."
fact,"A healthy (non-colorblind) human eye can distinguish between 500 shades of gray."
fact,"A pregnant goldfish is called a twit."
fact,"Lizards can self-amputate their tails for protection. It grows back after a few months."
fact,"Los Angeles’ full name is “El Pueblo de Nuestra Senora la Reina de los Angeles de Porciuncula”."
fact,"A cat has 32 muscles in each ear."
fact,"A honeybee can fly at fifteen miles per hour."
fact,"Tigers have striped skin, not just striped fur."
fact,"A “jiffy” is the scientific name for 1/100th of a second."
fact,"The average child recognizes over 200 company logos by the time he enters first grade."
fact,"The youngest pope ever was 11 years old."
fact,"The first novel ever written on a typewriter is Tom Sawyer."
fact,"One out of every 43 prisoners escapes from jail. 94% are recaptured."
fact,"The average chocolate bar has 8 insects’ legs melted into it."
fact,"A rhinoceros horn is made of compacted hair."
fact,"Elwood Edwards did the voice for the AOL sound files (i.e. “You’ve got Mail!”)."
fact,"A polar bears skin is black. Its fur is actually clear, but like snow it appears white."
fact,"Elvis had a twin brother named Garon, who died at birth, which is why Elvis middle name was Aron."
fact," Dueling is legal in Paraguay as long as both parties are registered blood donors."
fact,"Donkeys kill more people than plane crashes."
fact,"Shakespeare invented the words “assassination” and “bump.”."
fact,"There are a million ants for every person on Earth."
fact,"If you keep a goldfish in the dark room, it will eventually turn white."
fact,"Women blink nearly twice as much as men."
fact,"The name Jeep comes from “GP”, the army abbreviation for General Purpose."
fact,"Right handed people live, on average, nine years longer than left handed people do."
fact,"There are two credit cards for every person in the United States."
fact,"Cats’ urine glows under a black light."
fact,"A “quidnunc” is a person who is eager to know the latest news and gossip."
fact,"Leonardo Da Vinci invented the scissors, the helicopter, and many other present day items."
fact,"In the last 4000 years no new animals have been domesticated."
fact,"25% of a human’s bones are in its feet."
fact,"On average, 100 people choke to death on ballpoint pens every year."
fact,"“Canada” is an Indian word meaning “Big Village”."
fact,"Only one in two billion people will live to be 116 or older."
fact,"Rape is reported every six minutes in the U.S."
fact,"The human heart creates enough pressure in the bloodstream to squirt blood 30 feet."
fact,"A jellyfish is 95% water."
fact,"Truck driving is the most dangerous occupation by accidental deaths (799 in 2001)."
fact,"Banging your head against a wall uses 150 calories an hour."
fact,"Elephants only sleep for two hours each day."
fact,"On average people fear spiders more than they do death."
fact,"The strongest muscle in the human body is the tongue. (the heart is not a muscle)."
fact,"In golf, a ‘Bo Derek’ is a score of 10."
fact,"In the U.S, Frisbees outsell footballs, baseballs and basketballs combined."
fact,"In most watch advertisements the time displayed on a watch is 10:10."
fact,"If you plant an apple seed, it is almost guaranteed to grow a tree of a different type of apple."
fact,"Al Capone’s business card said he was a used furniture dealer."
fact,"The only real person to be a PEZ head was Betsy Ross."
fact,"There are about 450 types of cheese in the world. 240 come from France."
fact,"A dragonfly has a lifespan of 24 hours."
fact,"In Iceland, a Big Mac costs $5.50."
fact,"Broccoli and cauliflower are the only vegetables that are flowers."
fact,"There is no solid proof of who built the Taj Mahal."
fact,"In a survey of 200000 ostriches over 80 years, not one tried to bury its head in the sand."
fact,"A dime has 118 ridges around the edge. A quarter has 119."
fact,"”Judge Judy” has a $25,000,000 salary, while Supreme Court Justice Ginsberg has a $190,100 salary."
fact,"Andorra, a tiny country between France & Spain, has the longest average lifespan: 83.49 years."
fact,"Mr. Rogers was an ordained Presbyterian minister."
fact,"In America you will see an average of 500 advertisements a day."
fact,"John Lennon’s first girlfriend was named Thelma Pickles."
fact,"You can lead a cow upstairs but not downstairs."
fact,"The average person falls asleep in seven minutes."
fact,"“The sixth sick sheik’s sixth sheep’s sick” is said to be the toughest tongue twister in English."
fact,"There are 336 dimples on a regulation US golf ball. In the UK its 330."
fact,"“Duff” is the decaying organic matter found on a forest floor."
fact,"The US has more personal computers than the next 7 countries combined."
fact,"Kuwait is about 60% male (highest in the world). Latvia is about 54% female (highest in the world)."
fact,"The Hawaiian alphabet has only 12 letters."
fact,"In 10 minutes, a hurricane releases more energy than all the world’s nuclear weapons combined."
fact,"At the height of its power in 400 BC, the Greek city of Sparta had 25,000 citizens and 500,000 slaves."
fact,"Julius Caesar’s autograph is worth about $2,000,000."
fact,"People say “bless you” when you sneeze because your heart stops for a millisecond."
fact,"US gold coins used to say “In Gold We Trust”."
fact,"In “Silence of the Lambs”, Hannibal Lector (Anthony Hopkins) never blinks."
fact,"A shrimp’s heart is in its head."
fact,"In the 17th century, the value of pi was known to 35 decimal places. Today, to 1.2411 trillion."
fact,"Pearls melt in vinegar."
fact,"“Lassie” was played by a group of male dogs; the main one was named Pal."
fact,"Nepal is the only country that doesn’t have a rectangular flag."
fact,"Switzerland is the only country with a square flag."
fact,"Gabriel, Michael, and Lucifer are the only angels named in the Bible."
fact,"Johnny Appleseed planted apples so that people could use apple cider to make alcohol."
fact,"Abraham Lincoln’s ghost is said to haunt the White House."
fact,"God is not mentioned once in the book of Esther."
fact,"The odds of being born male are about 51.2%, according to census."
fact,"Scotland has more redheads than any other part of the world."
fact,"There is an average of 61,000 people airborne over the US at any given moment."
fact,"Prince Charles and Prince William never travel on the same airplane in case there is a crash."
fact,"The most popular first name in the world is Muhammad."
fact,"The surface of the Earth is about 60% water and 10% ice."
fact,"For every 230 cars that are made, 1 will be stolen."
fact,"Jimmy Carter was the first U.S. President to be born in a hospital."
fact,"Lightning strikes the earth about 8 million times a day."
fact,"Humans use a total of 72 different muscles in speech."
fact,"If you feed a seagull Alka-Seltzer, its stomach will explode."
fact,"Only female mosquitoes bite."
fact,"The U.S. Post Office handles 43 percent of the world’s mail."
fact,"Most household dust is made of dead skin cells."
fact,"One in eight million people has progeria, a disease that causes people to grow faster than they age."
fact,"The male seahorse carries the eggs until they hatch instead of the female."
fact,"Negative emotions such as anxiety and depression can weaken your immune system."
fact,"Stephen Hawking was born exactly 300 years after Galileo died."
fact,"Mercury is the only planet whose orbit is coplanar with its equator."
fact,"Venus and Uranus are the only planets that rotate opposite to the direction of their orbit."
fact,"John Adams, Thomas Jefferson, and James Monroe died on July 4th."
fact,"Baby Ruth candy bar was named after Grover Cleveland’s daughter, Ruth, not the baseball player."
fact,"Dolphins can look in different directions with each eye. They can sleep with one eye open."
fact,"The Falkland Isles (pop. about 2000) has over 700000 sheep (350 per person)."
fact,"There are 41,806 different spoken languages in the world today."
fact,"The city of Venice stands on about 120 small islands."
fact,"The past-tense of the English word “dare” is “durst”."
fact,"Beetles taste like apples, wasps like pine nuts, and worms like fried bacon."
fact,"Of all the words in the English language, the word 'set' has the most definitions!."
fact,"What is called a ""French kiss"" in the English speaking world is known as an ""English kiss"" in France."
fact,"""Almost"" is the longest word in the English language with all the letters in alphabetical order."
fact,"""Rhythm"" is the longest English word without a vowel."
fact,"In 1386, a pig in France was executed by public hanging for the murder of a child."
fact,"A cockroach can live several weeks with its head cut off!."
fact,"Human thigh bones are stronger than concrete."
fact,"You can't kill yourself by holding your breath."
fact,"There is a city called Rome on every continent."
fact,"Your heart beats over 100,000 times a day!."
fact,"The skeleton of Jeremy Bentham is present at all important meetings of the University of London."
fact,"Right handed people live, on average, nine years longer than left-handed people."
fact,"Your ribs move about 5 million times a year, every time you breathe!."
fact,"One quarter of the bones in your body, are in your feet!."
fact,"Like fingerprints, everyone's tongue print is different!."
fact,"Fingernails grow nearly 4 times faster than toenails!."
fact,"Most dust particles in your house are made from dead skin!."
fact,"Present population of 5 billion plus people of the world is predicted to become 15 billion by 2080."
fact,"Women blink nearly twice as much as men."
fact,"Adolf Hitler was a vegetarian, and had only ONE testicle."
fact,"Honey is the only food that does not spoil."
fact,"Months that begin on a Sunday will always have a ""Friday the 13th.""."
fact,"Coca-Cola would be green if coloring weren’t added to it."
fact,"On average a hedgehog's heart beats 300 times a minute."
fact,"More people are killed each year from bees than from snakes."
fact,"The average lead pencil will draw a line 35 miles long or write approximately 50,000 English words."
fact,"More people are allergic to cow's milk than any other food."
fact,"Camels have three eyelids to protect themselves from blowing sand."
fact,"The placement of a donkey's eyes in it’s' heads enables it to see all four feet at all times!."
fact,"The six official languages of the U.N. are: English, French, Arabic, Chinese, Russian and Spanish."
fact,"Earth is the only planet not named after a god."
fact,"It's against the law to burp, or sneeze in a church in Nebraska, USA."
fact,"You're born with 300 bones, but by the time you become an adult, you only have 206."
fact,"Some worms will eat themselves if they can't find any food!."
fact,"The world’s oldest piece of chewing gum is 9000 years old!."
fact,"The longest recorded flight  of a chicken is 13 seconds."
fact,"Owls are the only birds that can see the color blue."
fact,"A man named Charles Osborne had the hiccups for 69 years!."
fact,"A giraffe can clean its ears with its 21-inch tongue!."
fact,"The average person laughs 10 times a day!."
fact,"The Bible, the world's best-selling book, is also the world's most shoplifted book."
fact,"Someone paid $14,000 for the bra worn by Marilyn Monroe in the film 'Some Like It Hot'."
fact,"Your tongue is the only muscle in your body that is attached at only one end."
fact,"More than 1,000 different languages are spoken on the continent of Africa."
fact,"Buckingham Palace in England has over six hundred rooms."
fact,"There was once an undersea post office in the Bahamas."
fact,"Ninety percent of New York City cabbies are recently arrived immigrants."
fact,"It's possible to lead a cow upstairs... but not downstairs."
fact,"A snail can sleep for three years."
fact,"No word in the English language rhymes with ""MONTH""."
fact,"Average life span of a major league baseball: 7 pitches."
fact,"Our eyes are always the same size from birth, but our nose and ears never stop growing."
fact,"""Go."" is the shortest complete sentence in the English language."
fact,"The ""pound"" key on your keyboard (#) is called an octotroph."
fact,"The only domestic animal not mentioned in the Bible is the cat."
fact,"Table tennis balls have been known to travel off the paddle at speeds up to 160 km/hr."
fact,"Pepsi originally contained pepsin, thus the name."
fact,"The original story from ""Tales of 1001 Arabian Nights"" begins, ""Aladdin was a little Chinese boy.""."
fact,"Nutmeg is extremely poisonous if injected intravenously."
fact,"Honey is the only natural food that is made without destroying any kind of life."
fact,"The volume of the earth's moon is the same as the volume of the Pacific Ocean."
fact,"Cephalacaudal recapitulation is the reason our extremities develop faster than the rest of us."
fact,"Chinese Crested dogs can get acne."
fact,"Each year there is one ton of cement poured for each man woman and child in the world."
fact,"The house fly hums in the middle octave key of F."
fact,"The only capital letter in the Roman alphabet with exactly one end point is P."
fact,"The giant red star Betelgeuse has a diameter larger than that of the Earth's orbit around the sun."
fact,"Hummingbirds are the only animals that can fly backwards."
fact,"A cat's jaw cannot move sideways."
fact,"The human heart creates enough pressure when it pumps out to the body to squirt blood 30 feet."
fact,"The flea can jump 350 times its body length. It's like a human jumping the length of a football field."
fact,"Some lions mate over 50 times a day."
fact,"Rubber bands last longer when refrigerated."
fact,"The average person's left hand does 56% of the typing."
fact,"The longest one-syllable word in the English language is ""screeched.""."
fact,"All of the clocks in the movie ""Pulp Fiction"" are stuck on 4:20."
fact,"""Dreamt"" is the only English word that ends in the letters ""mt.""."
fact,"Maine is the only state (in USA) whose name is just one syllable."
fact,"The giant squid has the largest eyes in the world."
fact,"In England, the Speaker of the House is not allowed to speak."
fact,"Mr. Rogers was an ordained minister."
fact,"A rat can last longer without water than a camel."
fact,"Your stomach has to produce a new layer of mucus every two weeks or it will digest itself."
fact,"A female ferret will die if it goes into heat and cannot find a mate."
fact,"A 2"" X 4"" is really 1-1/2"" by 3-1/2""."
fact,"On average, 12 newborns will be given to the wrong parents daily."
fact,"There are no words in the dictionary that rhyme with orange, purple, silver and month."
fact,"If one places a tiny amount of liquor on a scorpion, it will instantly go mad and sting itself to death."
fact,"The first CD pressed in the US was Bruce Springsteen's ""Born in the USA.""."
fact,"Sherlock Holmes NEVER said, ""Elementary, my dear Watson.""."
fact,"California consumes more bottled water than any other product."
fact,"California has issued 6 drivers licenses to people named ""Jesus Christ.""."
fact,"In 1980, a Las Vegas hospital suspended workers for betting on when patients would die."
fact,"Nevada is the driest state in the U.S. Each year it averages 7.5 inches (19 cm) of rain."
fact,"In Utah, it is illegal to swear in front of a dead person."
fact,"Salt Lake City, Utah has a law against carrying an unwrapped ukulele on the street."
fact,"Arizona was the last of the 48 adjoining continental states to enter the Union."
fact,"It is illegal to hunt camels in the state of Arizona."
fact,"Wyoming was the first state to give women the right to vote in 1869."
fact,"Denver, Colorado lays claim to the invention of the cheeseburger."
fact,"The first license plate on a car in the United States was issued in Denver, Colorado in 1908."
fact,"The state of Maryland has no natural Lakes."
fact,"Illinois has the highest number of personalized license plates than any other state."
fact,"Residents of Houston, Texas lead the U.S. in eating out - approximately 4.6 times per week."
fact,"Laredo, Texas is the U.S.'s farthest inland port."
fact,"Rugby, North Dakota is the geographical center of North America."
fact,"Butte County, South Dakota is the geographical center of the U.S."
fact,"Louisiana's capital building is the tallest one of any U.S. state."
fact,"Hawaii is the only coffee producing state."
fact,"One in seven workers in Boston, Massachusetts walks to work."
fact,"The ""Dull Men's Hall of Fame"" is located in Carroll, Wisconsin."
fact,"Gary, Indiana is the murder capital of the U.S. - probably the world."
fact,"Alabama was the first state to recognize Christmas as an official holiday."
fact,"The largest NFL stadium is the Pontiac Silverdome in Detroit, Michigan."
fact,"Michigan was the first state to have roadside picnic tables."
fact,"No matter where you stand in Michigan, you are never more than 85 miles from a Great Lake."
fact,"The official beverage of Ohio is tomato juice."
fact,"Georgia's state motto is ""Wisdom, Justice and Moderation.""."
fact,"The U.S. city with the highest rate of lightning strikes per capita is Clearwater, Florida."
fact,"It's illegal to spit on the sidewalk in Norfolk, Virginia."
fact,"The first streetlights in America were installed in Philadelphia around 1757."
fact,"The highest point in Pennsylvania is lower than the lowest point in Colorado."
fact,"If you were to take a taxicab from New York City to Los Angeles, it would cost you $8,325."
fact,"The NY phone book had 22 Hitlers before WWII. The NY phone book had 0 Hitlers after WWII."
fact,"In New York State, it is illegal to but any alcohol on Sundays before noon."
fact,"There were 240 pedestrian fatalities in New York City in 1994."
fact,"Columbia University is the second largest landowner in New York City, after the Catholic Church."
fact,"Montpelier, Vermont is the only state capital without a McDonalds."
fact,"Maine is the only state that has borders with only one other state."
fact,"The first McDonald's restaurant in Canada was in Richmond, British Columbia."
fact,"In 1984, a Canadian farmer began renting advertising space on his cows."
fact,"There are more donut shops in Canada per capita than any other country."
fact,"0.3% of all road accidents in Canada involve a Moose."
fact,"In the great fire of London in 1666 half of London was burnt down but only 6 people were injured."
fact,"In Quebec, there is an old law that states margarine must be a different color than butter."
fact,"The largest taxi fleet in the world is found in Mexico City. The city boasts a fleet of over 60,000 taxis."
fact,"More than 90% of the Nicaraguan people are Roman Catholic."
fact,"Cuba is the only island in the Caribbean to have a railroad."
fact,"Jamaica has the most churches per square mile than any other country in the world."
fact,"The angel falls in Venezuela are nearly 20 times taller than Niagara Falls."
fact,"Canada is the only country not to win a gold medal in the summer Olympic games while hosting."
fact,"The Amazon is the world's largest river, 3,890 miles (6,259 km) long."
fact,"The town of Calma, Chile in the Atacama Desert has never had rain."
fact,"The people of France eat more cheese than any other country in the world."
fact,"King Louis XIX ruled France for 15 minutes."
fact,"The most common name in Italy is Mario Rossi."
fact,"Greece's national anthem has 158 verses."
fact,"In ancient Greece ""idiot"" meant a private citizen or layman."
fact,"Bulgarians are known to be the biggest yogurt eaters in the world."
fact,"Czechs are the biggest consumers of beer per male in the world."
fact,"A Czech man, Jan Honza Zampa, holds the record for drinking one liter of beer in 4.11 seconds."
fact,"Netherlands is the only country with a national dog."
fact,"When we think of Big Ben in London, we think of the clock. Actually, it's the bell."
fact,"The Automated Teller Machine (ATM) was introduced in England in 1965."
fact,"Buckingham Palace has 602 rooms."
fact,"Icelanders consume more Coca-Cola per Capita than any other nation."
fact,"Until 1997, there were more pigs than people in Denmark."
fact,"There is a hotel in Sweden built entirely out of ice; it is rebuilt every year."
fact,"Sweden has the least number of murders annually."
fact,"Lithuania has the highest suicide rate in the world."
fact,"The country code for Russia is ""007""."
fact,"Russians generally answer the phone by saying, ""I'm listening""."
fact,"The U.S. bought Alaska for 2 cents an acre from Russia."
fact,"1 in 5 of the world's doctors are Russian."
fact,"Antarctica is the only continent that does not have land areas below sea level."
fact,"The people of Israel consume more turkeys per capita than any other country."
fact,"Nepal is the only country that has a non-rectangular flag. It is also asymmetrical."
fact,"1,800 cigarettes are smoked per person each year in China."
fact,"Respiratory Disease is China's leading cause of death."
fact,"There are more than 40,000 characters in the Chinese script."
fact,"More people speak English in China than the United States."
fact,"The toothbrush was invented in China in 1498."
fact,"Mongolia is the largest landlocked country."
fact,"Vatican City is the smallest country in the world, with a population of 1000 and just 108.7 acres."
fact,"In Japan, watermelons are squared. It's easier to stack them that way."
fact,"98% of Japanese are cremated."
fact,"The number ""four"" is considered unlucky in Japan because it is pronounced the same as ""death""."
fact,"The average Japanese household watches more than 10 hours of television a day."
fact,"The Philippines has about 7,100 islands, of which only about 460 are more than 1 square mile in area."
fact,"Yo-yos were used as weapons by warriors in the Philippines in the 16th century."
fact,"Australian soldiers used the song ""We're Off to See the Wizard"" as a marching song in WWII."
fact,"The Australian $5 to $100 notes are made of plastic."
fact,"The Nullarbor Plain of Australia covers 100,000 square miles (160,900 km) without a tree."
fact,"Tasmania, Australia has the cleanest air in the inhabited world."
fact,"Greenland is the largest island in the world."
