# Table: fun
# Replaces: type=compliment
# uuid: id
type,content
compliment,"You are the most perfect you there is."
compliment,"Your existence makes me feel better about life."
compliment,"You always know just what to say."
compliment,"Whenever I have a tough day, I remember you and it gives me strength and hope."
compliment,"You have such a good heart."
compliment,"You're great at figuring stuff out."
compliment,"I love your little pinky toes."
compliment,"You always know how to find that silver lining."
compliment,"There's ordinary, and then there's you."
compliment,"I had no idea what life could be until we met."
compliment,"Please never stop being you."
compliment,"You are always so helpful."
compliment,"I like the way you are."
compliment,"You have great bushy eyebrows."
compliment,"You smell really good."
compliment,"That thing you don't like about yourself is what makes you so interesting."
compliment,"You're even more beautiful on the inside than you are on the outside."
compliment,"You're my reason."
compliment,"That thing where you know when someone needs something? That's amazing."
compliment,"Your presence is so healing."
compliment,"I'm inspired by you."
compliment,"No one else can make me laugh like you do."
compliment,"You really seem to know who you are. I admire that."
compliment,"I am a better person because of you."
compliment,"Mating with you would be a smart evolutionary play."
compliment,"I can't stop thinking about you."
compliment,"Thank you for being you."
compliment,"You've shown me how to be kinder person."
compliment,"When you make up your mind, nothing stands in your way."
compliment,"I will never forget the way you make me feel."
compliment,"You inspire me."
compliment,"I've never met a person quite like you."
compliment,"You are truly unforgettable."
compliment,"Your perspective is refreshing."
compliment,"I wish I were half the human you are."
compliment,"You make monogamy seem easy."
compliment,"On a scale from 1 to 10, you're an 11."
compliment,"You make me believe in goodness."
compliment,"I can't quite fathom a world with you."
compliment,"Hanging out with you is always fun."
compliment,"You help me be the best version of myself."
compliment,"I like you so much it hurts."
compliment,"You may dance like no one's watching, but everyone's watching because you're mesmerizing."
compliment,"I bet you make babies smile."
compliment,"You're the light of my life."
compliment,"Your hair looks stunning."
compliment,"Everyone gets knocked down sometimes, but you always get back up and keep going."
compliment,"I'm grateful to know you."
compliment,"Nothing can stop you."
compliment,"You're like a breath of fresh air."
compliment,"If you were a scented candle they'd call it Perfectly Imperfect (and it would smell like summer)."
